Краснов Загід Геннадійович,https://public.nazk.gov.ua/search?page=1&q=Краснов Загід Геннадійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Вілкул Олександр Юрійович,https://public.nazk.gov.ua/search?page=1&q=Вілкул Олександр Юрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Риженко Сергій Анатолійович,https://public.nazk.gov.ua/search?page=1&q=Риженко Сергій Анатолійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ричкова Тетяна Борисівна,https://public.nazk.gov.ua/search?page=1&q=Ричкова Тетяна Борисівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гуфман Геннадій Леонідович,https://public.nazk.gov.ua/search?page=1&q=Гуфман Геннадій Леонідович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сидоренко Олександр Миколайович,https://public.nazk.gov.ua/search?page=1&q=Сидоренко Олександр Миколайович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сидоренко Катерина Геннадіївна,https://public.nazk.gov.ua/search?page=1&q=Сидоренко Катерина Геннадіївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сидоренко Микола Олександрович,https://public.nazk.gov.ua/search?page=1&q=Сидоренко Микола Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Афанасьєва Тетяна Володимирівна,https://public.nazk.gov.ua/search?page=1&q=Афанасьєва Тетяна Володимирівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Філатов Борис Альбертович,https://public.nazk.gov.ua/search?page=1&q=Філатов Борис Альбертович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Збарська Катерина Юріївна,https://public.nazk.gov.ua/search?page=1&q=Збарська Катерина Юріївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Начар’ян Наталія Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Начар’ян Наталія Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Примаков Каміль Юрійович,https://public.nazk.gov.ua/search?page=1&q=Примаков Каміль Юрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мансурова Аліада,https://public.nazk.gov.ua/search?page=1&q=Мансурова Аліада&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Нікітін Сергій Михайлович,https://public.nazk.gov.ua/search?page=1&q=Нікітін Сергій Михайлович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Санжара Олександр Олександрович,https://public.nazk.gov.ua/search?page=1&q=Санжара Олександр Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мірошніченко Олександр Дмитрович,https://public.nazk.gov.ua/search?page=1&q=Мірошніченко Олександр Дмитрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk= 
Хмельников Артем Олександрович,https://public.nazk.gov.ua/search?page=1&q=Хмельников Артем Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гончаренко Наталія Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Гончаренко Наталія Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Скребець Юрій Юрійович,https://public.nazk.gov.ua/search?page=1&q=Скребець Юрій Юрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Дитятковська Євгенія Михайлівна,https://public.nazk.gov.ua/search?page=1&q=Дитятковська Євгенія Михайлівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Краснов Руслан Загідович,https://public.nazk.gov.ua/search?page=1&q=Краснов Руслан Загідович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Петрицька Валерія Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Петрицька Валерія Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Пилипенко Наталія Василівна,https://public.nazk.gov.ua/search?page=1&q=Пилипенко Наталія Василівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Куян Олена Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Куян Олена Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Тарасова Єсенія Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Тарасова Єсенія Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Васил’єв Борис Юрійович,https://public.nazk.gov.ua/search?page=1&q=Васил’єв Борис Юрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Музика Максим Іванович,https://public.nazk.gov.ua/search?page=1&q=Музика Максим Іванович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Стєпанян Олена Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Стєпанян Олена Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гивель Ярослав Орестович,https://public.nazk.gov.ua/search?page=1&q=Гивель Ярослав Орестович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Хазан Наталія Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Хазан Наталія Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Тимчук Сергій Миколайович,https://public.nazk.gov.ua/search?page=1&q=Тимчук Сергій Миколайович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Басов Станіслав Андрійович,https://public.nazk.gov.ua/search?page=1&q=Басов Станіслав Андрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Живага Оксана Анатоліївна,https://public.nazk.gov.ua/search?page=1&q=Живага Оксана Анатоліївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Краснопольський Сергій Владленович,https://public.nazk.gov.ua/search?page=1&q=Краснопольський Сергій Владленович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Щербатов Дмитро Олексійович,https://public.nazk.gov.ua/search?page=1&q=Щербатов Дмитро Олексійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Васючков Іван Олександрович,https://public.nazk.gov.ua/search?page=1&q=Васючков Іван Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Вербас Денис Віталійович,https://public.nazk.gov.ua/search?page=1&q=Вербас Денис Віталійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ельдаров Абдула Ісаєвич,https://public.nazk.gov.ua/search?page=1&q=Ельдаров Абдула Ісаєвич&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ведмідь Олена Миколаївна,https://public.nazk.gov.ua/search?page=1&q=Ведмідь Олена Миколаївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Зеленюк Олександр Валерійович,https://public.nazk.gov.ua/search?page=1&q=Зеленюк Олександр Валерійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Григорук Олег Романович,https://public.nazk.gov.ua/search?page=1&q=Григорук Олег Романович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гельфер Григорій Аркадійович,https://public.nazk.gov.ua/search?page=1&q=Гельфер Григорій Аркадійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Одинцова Ірина Миколаївна,https://public.nazk.gov.ua/search?page=1&q=Одинцова Ірина Миколаївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Кушнір Станіслав Васильович,https://public.nazk.gov.ua/search?page=1&q=Кушнір Станіслав Васильович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гороватий Давид Семенович,https://public.nazk.gov.ua/search?page=1&q=Гороватий Давид Семенович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Маринчук Северин Георгійович,https://public.nazk.gov.ua/search?page=1&q=Маринчук Северин Георгійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Лещенко Олексій Васильович,https://public.nazk.gov.ua/search?page=1&q=Лещенко Олексій Васильович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Турчин Ігор Володимирович,https://public.nazk.gov.ua/search?page=1&q=Турчин Ігор Володимирович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Бреславська Елла Володимирівна,https://public.nazk.gov.ua/search?page=1&q=Бреславська Елла Володимирівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Афанасьєва Євгенія Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Афанасьєва Євгенія Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мозгова Катерина Федорівна,https://public.nazk.gov.ua/search?page=1&q=Мозгова Катерина Федорівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мєдвєдєва Аліна Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Мєдвєдєва Аліна Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сутула Наталія Володимирівна,https://public.nazk.gov.ua/search?page=1&q=Сутула Наталія Володимирівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Кучеренко Анастасія Вадимівна,https://public.nazk.gov.ua/search?page=1&q=Кучеренко Анастасія Вадимівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Солоха Віталій Васильович,https://public.nazk.gov.ua/search?page=1&q=Солоха Віталій Васильович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Лифар Тетяна Іванівна,https://public.nazk.gov.ua/search?page=1&q=Лифар Тетяна Іванівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Яшинський Михайло Михайлович,https://public.nazk.gov.ua/search?page=1&q=Яшинський Михайло Михайлович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
